שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
אורה,"4,751",52,69,103,117,132,125,112,116,126,116,143,118,133,112,106,84,84,84,83,60,44,34,23,29,24,19,27,27,28,20,14,14,25,25,28,17,14,25,28,31,23,17,31,32,30,33,29,30,25,34,22,26,28,23,28,37,38,42,45,43,48,66,55,50,44,52,60,53,63,65,72,60,77,60
אורטל,"8,156",.,.,.,..,..,..,.,.,.,..,..,..,..,..,.,..,7,..,5,..,5,9,6,..,18,16,22,19,16,48,89,148,192,271,399,556,694,690,621,598,540,392,325,310,215,210,194,164,151,139,138,98,90,82,71,91,66,52,46,38,49,34,27,30,31,16,18,21,12,19,15,6,11,5
אורי,"6,580",.,..,..,..,.,..,.,.,..,..,5,..,..,..,..,6,6,5,7,5,5,6,5,8,6,6,15,14,17,6,13,16,10,12,10,15,16,15,19,19,23,23,24,24,22,23,28,36,37,60,56,101,98,131,155,195,201,207,210,225,199,225,210,225,291,306,337,326,327,349,341,438,399,437
אוריאל,79,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,..,.,.,.,..,.,.,.,..,.,.,.,.,..,.,.,..,..,..,..,..,.,..,..,..,5,..,..,..,..,5,..,..,..,..,..,..,..,..,..,..,.,..,..,..,..,..,.,..
אוריאן,"3,047",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,..,..,..,5,5,5,7,7,6,6,7,5,5,8,8,12,18,21,31,34,54,59,59,53,37,50,42,54,37,45,44,43,55,54,86,97,99,112,112,140,133,159,130,140,150,142,167,158,124,95,118
אוריאנה,255,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,..,20,27,26,14,9,5,10,6,..,7,..,..,..,..,..,..,..,..,..,.,.,..,6,..,..,..,..,..,..,..,.,.,..,..,..,..,.,5,..,..,5,5,..,..,..,..,..,..,..,6,..,7,..
אוריה,"8,253",..,.,..,..,..,.,..,..,..,..,..,..,..,..,..,..,..,5,..,..,..,10,5,..,..,6,9,7,5,..,6,..,8,9,12,18,19,21,20,41,66,52,65,71,88,82,75,88,110,128,132,137,162,163,203,201,206,234,233,249,287,307,354,369,403,350,366,384,381,399,425,440,402,380
אורייאן,62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,..,..,.,.,..,.,..,.,.,.,.,.,.,..,.,.,.,..,..,..,..,..,..,..,7,5,..,..,..,5,..,..,.,..,..,..
אורייה,75,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,..,..,..,.,..,..,.,..,.,..,..,..,6,.,..,..,..,5,6,..,5,5,..,9,..,..,..,..
אורין,"4,138",.,.,.,.,.,.,.,.,.,.,.,..,..,.,.,.,..,..,..,..,.,..,..,..,6,5,..,9,5,7,6,9,7,5,7,10,21,25,31,20,26,35,53,38,28,52,48,46,52,46,42,56,70,67,74,89,118,145,180,208,244,192,206,211,195,193,199,193,165,168,147,141,114,107
אורינה,29,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,..,.,.,.,.,8,..,5,..,..,.,..,.,.,.,..,.,.,.,.,.,..,..,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.
אורית,"12,906",8,12,32,35,69,85,111,160,176,225,239,227,257,244,242,268,250,269,289,264,324,364,524,545,484,514,565,595,546,457,387,368,402,317,297,288,244,214,194,172,149,126,106,88,94,63,78,71,71,64,58,55,50,39,58,50,41,35,47,35,27,28,28,20,17,14,10,17,15,16,14,15,15,17
אורלב,27,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,..,.,.,..,..,..,..,.,..,..,.,5,.,..,..,..,..,.,.,.,.,..,..,.,.,.,.,.,.,.
אורלי,"11,897",.,..,..,15,26,46,51,76,113,168,252,315,367,401,462,459,500,553,502,448,511,459,409,444,430,357,349,351,318,301,271,238,289,235,228,205,169,116,122,87,66,82,68,75,55,56,80,55,47,52,60,45,41,33,35,33,32,25,21,22,22,23,19,24,17,19,13,18,22,22,14,13,19,18
אורליה,70,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,.,..,..,.,..,..,..,.,..,..,..,..,..,.,..,..,..,.,.,..,..,..,..,..,..,..,5,..,..,.,.,.,.,.,.,..,..,..,..,.,..,..,..,..,..,..,.,.,.,..,..,.,..,..,..,..,..,..,.
אורלין,73,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,5,5,..,.,..,..,..,..,..,..,.,.,.,.,..,.,..,..,.,..,.,..,.,.,.,.,.,.,.,.,..,.,..,..,.,.,.,..,.,..,..,..,.,.,..,..,..,..,..,..,..,..,..,.,.,.,..
אורלית,164,.,.,.,.,.,.,.,.,.,.,..,..,7,6,11,12,10,11,16,8,19,13,7,11,8,..,..,6,.,..,.,.,.,.,..,.,..,.,.,..,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
אורן,"1,019",.,.,.,.,.,..,.,.,..,.,.,..,.,.,..,..,..,.,..,..,..,..,..,..,..,..,.,..,.,.,..,..,..,..,6,12,11,10,15,12,15,21,18,15,11,22,21,24,30,16,43,34,42,39,28,32,23,33,42,39,30,27,25,30,21,19,25,30,24,34,28,32,18,29
אורנה,"5,815",15,12,31,34,73,105,115,150,200,253,246,317,347,378,365,384,338,306,295,226,214,196,155,141,125,85,88,69,52,69,49,42,29,30,24,20,17,17,12,10,12,..,10,8,9,6,10,5,..,..,..,..,..,..,..,..,.,.,..,..,..,..,..,..,..,.,..,..,.,..,.,..,..,..
אורנית,"1,246",.,.,.,..,..,.,.,..,6,5,..,6,5,13,14,15,18,23,14,26,24,23,35,59,48,59,47,56,50,56,51,45,42,45,36,41,41,29,40,37,30,25,23,19,25,17,12,13,11,9,9,6,5,5,.,..,..,..,..,.,..,.,.,..,..,..,..,.,.,..,.,.,.,.
אורפז,737,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,..,.,..,.,.,.,.,.,.,.,.,..,..,..,..,..,..,16,18,20,12,21,34,34,43,38,42,44,29,29,20,26,20,29,17,37,26,24,16,10,17,14,17,10,11,10,11,5,10,6,..
אושר,"1,881",.,.,.,.,.,..,..,.,.,.,.,.,.,..,..,.,.,.,..,..,.,..,..,..,..,..,6,7,..,..,7,6,6,9,8,11,..,9,15,13,12,14,23,15,20,31,32,27,34,43,48,53,58,92,97,69,67,93,93,82,79,63,61,68,70,60,49,51,44,50,54,44,32,29
אושרה,982,.,5,5,7,6,7,7,15,13,9,12,9,17,15,14,27,22,23,29,29,24,26,26,31,26,34,27,41,37,31,28,27,19,16,22,27,11,18,11,17,15,15,14,11,11,13,8,7,6,..,5,5,..,5,13,12,..,..,9,..,..,8,6,6,..,..,..,..,..,..,..,.,5,..
אושרי,314,.,.,.,.,.,.,.,.,.,..,.,..,..,..,.,..,..,..,.,.,..,..,..,..,.,..,..,..,..,6,10,5,6,..,7,5,5,6,..,..,7,9,7,9,8,6,..,5,6,..,7,8,7,..,6,..,..,8,11,8,10,9,..,9,8,7,12,6,..,5,6,7,5,..
אושרית,"2,096",.,.,.,..,..,..,.,.,..,.,..,..,..,..,..,..,..,..,8,8,6,9,20,23,39,46,61,62,63,79,92,122,123,90,89,87,86,82,70,70,63,69,55,40,58,46,39,34,36,25,27,27,25,31,29,16,15,11,12,14,8,13,10,7,6,..,5,..,..,..,..,..,..,.
אושרת,"2,877",.,.,..,..,.,.,..,.,.,..,..,..,..,5,5,..,..,5,..,..,8,9,16,25,49,100,100,145,155,116,139,141,174,119,123,118,83,107,75,82,75,76,75,52,46,44,34,52,43,43,40,34,31,24,35,28,22,22,20,13,21,13,17,8,14,12,9,10,10,12,7,5,..,.
אחווה,124,..,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,.,.,.,.,.,..,.,.,.,.,.,.,..,..,..,.,..,..,..,..,..,..,..,5,..,..,..,..,..,..,6,5,..,5,..,.,..,5,..,..,..,..,..,..,..,..,..,..,..,5,..,.,..,..,..,..,.
אחינועם,"1,919",.,.,.,.,..,.,.,..,..,..,..,..,..,.,..,..,..,..,..,..,..,..,..,..,.,..,..,..,..,..,..,6,6,11,..,9,5,7,9,11,16,15,15,22,22,18,26,31,26,28,42,37,33,42,46,55,45,63,65,62,81,77,88,82,80,91,71,77,78,80,75,79,60,65
