שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ליעם,57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,..,.,.,..,..,..,.,.,.,..,..,.,..,..,..,..,.,..,..,..,6,..,..,..,..,..,..,..,..,..,5,..,..,..,.,..,..,.,.,.,.
ליפז,596,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,..,.,.,.,..,..,..,..,..,..,..,.,..,.,6,5,6,6,7,8,6,9,7,..,10,9,26,16,26,28,26,26,21,26,22,19,18,18,17,25,21,17,11,18,18,18,15,12,12,15,6,..,..,6
ליקה,61,.,.,.,.,.,.,.,..,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,.,..,..,.,..,..,.,..,..,..,5,..,..,..,..,..,..,..,5,..,..,..,..,..,..,..,..
ליר,500,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,..,.,.,..,.,.,.,.,..,..,.,.,..,..,5,..,6,8,10,7,16,14,18,18,16,25,17,16,22,..,10,20,14,14,11,15,15,9,14,9,12,18,33,27,28,17,19
לירוז,69,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,.,..,.,..,..,..,..,..,..,..,..,5,..,..,..,..,..,.,..,5,..,.,..,..,..,..,..,.,..,..,..,..,..,..,.,..,.,..,..,..,.,..
לירוי,63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,..,.,..,..,.,.,..,.,.,..,.,.,..,..,.,..,..,..,..,..,..,..,..,..,5,..,5,7,..,.,..,..,..,..,..,.,..,.,..
לירון,"8,161",.,.,.,.,.,..,.,..,.,..,.,..,..,..,.,..,..,..,6,7,5,6,6,19,26,30,39,50,61,57,161,292,381,395,387,448,373,297,281,225,271,241,223,176,169,140,127,160,147,155,200,204,209,192,177,229,190,179,140,121,132,118,121,108,78,67,58,53,48,52,26,33,33,18
לירז,"3,882",.,.,.,.,.,.,.,..,.,.,.,.,.,..,.,..,..,..,..,..,..,..,..,6,11,20,20,35,59,61,69,87,110,116,138,134,132,146,147,128,122,99,97,74,60,70,75,81,99,94,99,122,141,112,105,108,100,99,86,84,91,61,58,47,40,35,44,37,29,21,17,15,10,9
לירי,"1,620",.,.,.,.,.,.,.,.,.,.,.,..,.,..,.,..,..,.,.,..,..,.,..,..,.,..,..,..,..,..,.,.,5,..,5,..,..,5,10,..,..,5,..,5,..,6,7,15,11,16,16,29,26,31,37,39,33,30,53,85,98,85,73,72,69,56,70,70,88,82,94,103,73,79
לירית,109,.,.,.,.,..,.,.,.,.,.,.,.,.,..,.,..,.,..,..,..,..,..,..,..,5,..,..,5,..,..,..,6,6,8,8,11,..,..,..,..,..,..,..,.,..,.,.,.,..,.,..,.,..,..,.,.,..,..,.,.,.,.,.,.,..,.,.,..,.,.,.,..,.,.
לירן,"1,222",.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,.,.,.,..,..,..,.,..,..,..,6,..,25,9,16,19,25,28,46,57,101,86,72,48,32,27,33,26,27,20,19,20,19,19,24,17,22,24,20,24,16,20,21,20,19,23,15,15,28,8,18,13,8,13,11,15,20,12
לישי,277,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,..,.,..,..,..,..,.,..,..,..,..,5,..,..,..,..,..,..,7,.,..,8,6,12,7,10,11,12,17,19,14,13,14,9,11,5,9,12,16,13,5
ללי,88,.,.,.,.,..,..,..,.,.,..,.,.,..,.,.,.,.,.,.,..,..,..,..,..,..,..,5,..,..,..,..,..,..,..,..,.,.,.,.,..,.,.,.,.,..,..,.,..,.,..,..,..,..,..,..,..,..,..,..,..,5,..,..,..,.,..,..,..,.,5,..,..,..,..
לליב,69,.,.,.,..,.,.,..,.,..,.,.,..,.,.,..,.,..,.,..,..,..,.,..,..,.,..,..,7,..,.,..,..,..,..,.,..,..,..,..,..,.,..,..,.,.,.,.,..,..,..,.,.,..,..,.,.,.,..,.,..,.,.,.,.,.,..,..,.,.,.,.,..,..,..
לנה,103,.,.,.,..,..,..,.,..,..,.,.,..,.,..,.,.,.,..,.,.,.,.,.,..,.,.,.,5,.,..,.,.,..,..,..,.,.,..,..,..,.,..,..,..,.,..,..,..,..,..,..,..,..,..,.,..,..,.,..,.,..,..,.,..,..,..,..,..,..,..,..,7,..,6
לני,"1,588",..,.,..,.,.,.,.,..,..,.,.,.,.,.,.,..,..,..,..,.,..,..,..,6,..,5,..,..,..,.,..,..,..,..,..,..,.,.,..,..,..,.,.,.,..,..,.,..,..,..,.,..,..,..,..,..,..,..,..,..,7,7,8,14,14,24,50,93,126,165,190,225,273,306
לריאן,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,.,..,6,..,5,..,..
לשם,226,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,..,.,.,.,.,..,.,.,.,.,.,.,..,.,..,.,.,.,.,.,.,..,..,..,..,..,.,..,..,..,..,..,..,..,..,5,5,6,5,5,5,11,12,6,7,12,12,11,16,19,16,18,23
מאור,"1,482",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,.,.,..,..,..,..,..,..,..,7,5,12,..,13,13,15,10,15,22,15,8,24,24,21,18,25,22,26,39,27,27,36,36,34,38,32,26,31,31,33,33,50,69,54,78,63,111,106,95,114
מאורי,253,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,..,..,.,..,.,.,..,.,.,..,.,.,..,.,.,..,.,..,..,..,..,10,12,6,5,12,24,19,22,25,30,28,40
מאטיל,196,.,.,.,.,..,.,.,.,.,.,..,..,.,..,.,..,.,.,.,..,..,.,..,.,.,..,.,.,..,..,..,..,..,..,..,.,..,..,..,..,.,..,5,5,..,..,5,5,5,..,..,..,5,7,5,7,5,..,5,..,..,5,..,5,5,10,..,7,6,12,7,..,5,9
מאטל,80,.,.,.,..,.,.,..,.,.,.,..,.,.,.,.,.,.,.,.,.,..,.,.,..,.,..,.,..,.,.,..,.,.,.,.,.,..,.,.,..,..,..,..,..,..,..,.,.,..,..,.,..,..,..,..,..,..,..,..,..,..,..,..,5,..,.,..,7,..,5,.,..,..,5
מאי,"9,001",.,.,.,..,.,.,.,..,.,.,..,..,.,..,.,..,.,.,..,..,..,..,.,..,5,..,5,9,8,9,9,..,..,8,..,9,14,19,18,24,45,61,76,96,177,294,353,389,400,398,398,469,521,423,379,388,354,272,242,260,220,222,228,191,190,203,206,229,217,203,203,190,173,163
מאי-לי,27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,..,.,.,..,.,.,..,..,..,.,.,5,..,.,..,6,6,.
מאיה,"34,213",12,15,14,18,19,12,19,21,19,20,19,19,28,21,18,20,21,38,28,24,30,36,45,187,350,711,537,575,564,562,586,513,486,376,391,353,281,293,254,270,254,225,252,245,282,282,321,350,347,399,465,549,588,629,726,833,893,851,916,852,948,"1,104","1,120","1,205","1,144","1,102","1,166","1,163","1,180","1,221","1,242","1,205","1,117","1,139"
מאילי,47,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,.,.,.,..,.,.,.,.,.,..,..,..,..,..,5,..,..,..,..,5,6,10
מאירה,"1,491",24,24,32,34,29,37,44,46,39,41,35,27,39,33,29,29,27,31,20,35,25,31,21,34,19,19,14,18,24,12,15,13,10,16,7,9,12,14,11,12,5,11,6,8,6,6,11,8,6,..,7,9,5,..,..,8,..,9,10,6,..,7,9,9,10,5,10,..,8,11,12,5,6,12
מאל,43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,..,.,..,.,.,.,.,.,.,.,.,.,..,.,..,..,..,..,..,.,..,..,..,..,..,..,.,..,..,..,5,5,..,..
מאלי,73,.,.,..,..,.,.,..,..,..,.,..,.,..,..,.,..,.,..,..,..,..,..,.,..,5,..,..,..,..,..,..,..,..,.,..,..,..,.,.,.,..,.,.,.,.,.,..,.,.,.,.,..,.,..,.,.,.,..,.,.,..,.,.,..,..,.,.,..,..,..,..,..,..,..
מארי,94,.,.,.,..,..,..,.,.,.,.,..,..,.,..,.,..,.,..,.,.,..,..,..,..,.,..,..,..,..,..,..,..,.,..,.,.,.,.,.,.,..,..,..,.,..,5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,..,..,..,.,..,.,..,..
מאשא,34,.,..,.,..,..,.,.,.,.,.,.,.,.,.,.,..,.,..,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,..,.,..,.,.,.,.,..,..,..,..,..,.,..,.,.,.,..,.,.,.,.,..,.,..,.,..,..,..,.,..,.,.,..,.,.,.,.,.,5,..
מאשה,286,..,8,13,5,7,6,6,6,..,6,5,..,..,..,..,..,..,..,..,..,.,..,..,..,.,..,..,..,..,.,..,..,..,..,..,.,.,..,..,..,..,5,..,..,.,..,..,..,..,5,5,..,..,..,..,..,..,..,5,..,..,..,..,..,..,.,.,..,..,.,..,6,..,6
מבשרת,203,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,.,..,.,.,.,..,.,.,.,.,..,.,.,..,..,..,..,..,..,..,..,5,7,..,6,..,7,10,5,8,10,7,8,10,6,10,..,..,8,..,7,11,7,5,6,..,10,5
מגי,408,.,..,..,6,..,..,..,6,6,..,..,..,..,5,..,..,..,12,9,6,11,10,5,11,12,9,10,12,22,13,13,13,11,12,11,..,7,9,8,12,8,9,8,..,..,..,5,..,6,8,..,..,..,6,.,8,..,..,..,.,.,.,..,.,..,..,..,.,.,..,.,.,..,..
מגל,38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,.,.,..,.,..,.,..,..,..,..,..,..,.,..,5,..,..,..,.,..,.,..,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,..,..,..,.,..,..,.,.
מדי,75,.,.,..,.,..,..,..,.,..,..,..,..,..,.,..,..,.,..,..,7,..,..,..,..,..,.,..,..,..,..,..,..,.,..,..,..,.,.,..,.,.,.,.,..,..,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,.,.
מדינה,35,7,..,..,.,.,.,..,..,..,.,..,.,..,.,..,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,..,.,.,.,..,.,.,.,.,.,.,..,.,.,.,..,..,.,.,.,.,.,..
מדלן,175,.,..,..,..,..,..,..,..,..,..,.,.,..,..,6,.,..,7,..,..,5,..,..,..,..,..,..,..,..,6,..,..,5,..,..,6,5,..,..,..,..,..,..,..,..,5,..,..,..,..,..,..,..,..,..,..,..,.,..,..,..,..,..,.,.,.,.,..,..,.,..,..,..,..
מון,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,..,..,6
מונה,92,.,..,.,.,..,.,..,.,..,.,..,..,..,..,..,.,..,.,..,..,..,..,..,.,..,..,.,5,.,..,.,..,..,..,..,..,.,..,..,..,.,..,..,.,..,.,..,.,.,.,..,.,.,.,.,.,.,..,..,..,.,..,.,5,..,..,..,..,..,..,..,..,..,..
מוניק,143,.,.,.,.,.,.,.,..,..,..,..,..,..,..,6,8,10,5,6,5,6,8,6,7,12,..,..,..,..,..,5,..,..,..,..,..,..,..,..,..,..,5,.,..,.,.,.,..,.,..,..,.,.,..,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..
מוניקה,171,.,..,.,..,..,..,..,.,..,.,..,..,..,.,..,..,..,..,..,..,..,.,..,.,..,..,..,5,..,10,..,7,6,5,8,..,..,..,.,..,..,..,..,..,..,..,..,..,..,5,6,5,..,..,..,..,..,.,..,..,..,..,..,..,5,..,..,..,..,..,..,..,..,..
מוסיא,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,..,.,.,..,..,.,..,..,..,..,..,..,5,..,..,..,..,..,..,..,6,..
מור,"9,022",.,.,..,.,..,..,..,.,.,..,.,..,..,..,..,6,6,6,9,8,12,13,34,23,34,41,44,48,44,55,58,73,80,108,116,152,195,280,356,401,551,729,691,612,576,463,419,306,276,257,235,203,158,133,146,119,102,91,85,94,62,65,48,52,66,45,38,35,26,32,35,16,16,17
מוראל,145,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,.,..,.,.,.,.,.,.,.,..,.,.,..,..,..,..,..,7,6,..,..,6,9,..,11,8,.,8,10,..,..,..,..,..,..,..,..,..,..,..,..,5,..,5,..,..,..,..,..,..,..,..
מורג,138,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,8,..,..,..,..,7,8,7,8,5,10,..,5,..,..,..,..,..,..,7,..,..,5,6,..,..,..,..,.,.,.,.,..,.,.,..,..,..,.,.
מורי,55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,.,.,.,.,..,.,.,.,.,.,..,.,..,..,..,..,.,..,..,..,.,..,5,..,.,..,..,..,.,.,..,.,..,.,..,.,..,.,..,.,6,..,..,.,..,..,..,.,.,..,..,.,..
מוריאל,523,.,.,.,.,..,.,.,.,.,..,.,..,.,.,.,.,..,..,.,..,..,..,..,..,..,.,..,..,..,..,..,..,6,..,6,9,5,6,6,9,9,23,21,8,15,10,16,13,17,7,17,13,5,7,8,14,12,17,5,7,12,20,13,13,19,16,10,9,8,16,12,21,6,17
מוריה,"10,451",..,..,.,..,..,..,..,..,..,..,..,.,..,.,..,..,5,..,..,14,13,8,14,19,15,20,18,30,22,26,41,49,51,78,116,141,141,142,164,182,187,220,225,234,254,210,209,215,217,211,263,237,246,264,249,243,320,348,373,320,372,376,349,366,320,306,299,288,240,254,236,243,199,199
מורין,303,.,.,.,..,.,..,.,.,.,.,.,.,.,.,.,.,..,.,.,.,..,.,.,.,..,..,..,..,.,..,5,..,11,21,15,10,..,9,5,8,8,9,9,9,10,7,..,7,..,7,5,5,8,..,5,7,6,6,9,7,..,16,10,..,8,9,5,..,..,..,.,.,..,..
מורית,49,.,.,.,.,.,.,.,.,.,.,..,.,..,.,.,.,.,.,..,.,..,..,..,..,..,..,.,..,..,..,..,..,5,..,..,..,..,..,..,.,.,..,..,.,..,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
מורל,192,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,.,..,..,5,..,6,6,..,..,..,..,..,..,..,8,6,11,14,..,14,9,10,6,6,8,6,..,..,6,..,..,..,..,..,..,..,..,..,..,..,.,..,..,.,.
מורן,"10,310",.,.,..,.,.,.,.,.,..,.,..,.,.,.,..,..,..,5,..,6,7,..,11,19,19,32,56,68,115,154,243,347,550,665,943,910,867,858,705,576,470,378,329,259,193,183,147,127,110,71,77,76,74,60,59,68,49,53,68,45,44,48,33,27,22,16,9,6,5,9,10,..,..,5
מורשה,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,..,..,.,.,..,.,.,.,.,.,..,.,.,.,.,..,.,.,..,..,..,..,..,..,.,6,..,..,..,..,..,..,..,..,.,.,..,..,..,.,..,.,..,..,..
מושית,147,.,.,..,.,.,..,.,..,.,..,..,.,.,.,.,.,.,.,.,.,.,.,10,19,10,7,22,8,6,..,..,6,7,6,6,5,..,..,.,..,5,..,..,..,..,..,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
מושקא,424,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,7,5,7,5,..,5,..,5,..,5,5,11,8,9,14,16,9,11,15,16,18,16,18,9,18,24,24,15,20,15,23,17,18,22
מזי,284,..,.,..,.,.,..,..,..,..,..,..,..,7,..,..,..,..,6,11,5,12,9,..,5,9,..,9,9,7,..,7,7,11,8,7,11,5,7,9,7,8,..,14,5,7,7,10,6,..,.,..,.,..,.,..,..,.,..,.,..,..,.,..,.,.,.,.,.,.,.,.,.,.,..
מזל,"8,801",41,92,204,285,264,295,247,287,292,266,296,272,295,242,228,264,220,268,201,171,183,157,127,116,111,107,100,94,103,91,90,85,89,72,85,81,76,85,72,91,72,73,91,81,96,87,81,104,91,82,84,56,60,52,50,36,30,27,15,21,27,15,29,19,18,25,20,15,20,15,12,21,17,16
מזמור,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,.,.,.,.,.,.,.,..,.,.,.,5,.,..,..,.
מטי,204,.,..,..,..,.,..,..,..,5,..,..,6,..,.,..,..,6,8,5,..,..,..,5,7,6,8,7,..,..,..,..,6,..,..,..,..,..,5,..,..,..,..,..,.,..,.,..,..,..,.,..,..,.,..,..,..,..,..,..,.,.,..,5,..,..,..,..,.,.,..,5,..,..,..
מטילדה,253,..,.,8,12,9,7,11,7,8,6,8,10,7,8,5,6,9,8,6,5,..,6,..,6,..,..,..,5,..,..,..,..,.,..,..,..,..,..,.,..,..,..,.,..,.,.,..,.,.,..,..,.,..,..,..,..,..,.,.,..,..,..,.,.,.,..,.,.,.,.,.,..,.,.
מטר,359,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,..,..,..,..,..,..,..,..,5,..,5,..,..,..,5,5,7,..,6,14,..,12,14,13,9,..,12,5,8,10,11,14,14,16,15,14,14,19,22,24,27
מי,71,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,6,..,..,..,..,..,5,..,.,.,..,..,..,.,..,..,..,..,..,..,..,.,.,.,.,.,..,..,..,..,..,..,..,.,.,..,..,..,.,.,.,.,.,..,..,.,.
מי-טל,53,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,..,..,..,.,..,6,..,5,..,..,5,..,..,.,..,..,.,.,.,.,.,.,.,.,..,.,..,..,.,..,.,.,..,.,.,.,..,.,.,.,..,.,.,.,.,.,.,.,.,.,.
מיא,99,.,.,.,..,.,.,.,.,.,..,.,..,.,.,.,.,.,..,.,.,.,.,.,.,..,.,..,..,..,..,.,..,..,.,..,.,..,.,.,..,.,..,..,.,..,..,.,.,.,..,..,.,..,..,6,..,..,..,..,9,7,..,..,..,6,..,..,..,..,..,..,..,5,..
מיאה,65,.,..,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,.,..,..,..,..,.,.,..,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,..,..,..,..,5,..,..,6,5,..,..,..,5,..,..,.,..,..,..
מיאור,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,..,.,..,.,6
מיאל,"1,307",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,..,..,.,..,.,..,.,.,.,..,.,.,..,.,..,..,..,..,..,..,..,..,..,7,5,13,11,20,24,32,38,63,82,116,130,260,477
מיטב,495,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,5,..,6,..,..,..,6,..,..,..,..,..,9,8,6,..,15,13,15,12,20,15,32,20,13,23,17,22,20,23,18,13,9,13,9,19,13,8,9,12,..,7,8,12
מיטל,"10,775",.,.,.,.,..,.,.,..,..,..,.,.,7,7,6,..,..,6,5,..,12,23,21,38,66,78,153,228,402,607,742,875,933,802,678,648,605,469,375,290,259,217,212,165,138,139,136,112,102,89,96,77,70,85,72,69,60,65,65,51,52,47,49,34,29,29,24,27,27,24,21,13,16,12
מיי,378,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,.,.,..,.,.,..,.,..,..,..,..,..,..,.,5,..,..,..,..,..,..,8,5,8,..,..,..,..,6,5,11,7,5,..,6,..,8,..,..,23,19,16,16,5,10,15,17,15,17,27,38,38
מייה,608,.,..,.,.,.,.,.,.,.,.,.,..,.,.,..,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,.,..,..,..,..,..,..,.,.,.,..,.,..,..,.,.,.,..,..,.,..,..,..,8,6,11,7,9,15,13,33,25,24,29,30,55,28,47,39,46,33,44,36,34
מייטל,95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,8,9,9,13,5,8,5,6,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,..,.,..,..,.,..,.,..,.,.,.,..,..,.,..,..,.,.,.,.,.,.
מיילי,398,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,..,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,7,7,14,13,11,9,19,31,51,48,76,104
מיכאל,120,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,..,.,.,.,.,.,..,..,.,.,.,.,..,..,.,.,.,..,.,.,..,..,6,..,6,..,..,..,..,..,..,..,..,..,5,..,..,..,..,7,..,5,7,6,7,..,..,..,7,6
מיכאלה,"2,110",7,..,10,5,8,6,15,12,8,11,7,10,12,7,7,12,9,10,9,9,6,7,7,12,5,5,..,6,6,5,6,5,6,7,9,5,5,..,..,..,..,..,7,9,8,17,11,8,13,11,15,18,18,15,16,19,24,22,29,30,31,34,31,31,56,45,62,115,118,182,190,202,194,199
מיכל,"44,945",71,98,129,166,180,228,171,218,180,237,255,310,393,414,448,457,482,462,548,514,676,786,821,925,895,946,"1,024",968,968,873,851,835,808,868,836,805,746,738,601,542,532,560,535,466,520,513,500,528,562,577,567,552,547,627,607,623,685,655,698,721,768,784,784,791,831,807,791,739,703,747,698,664,639,625
מיכלי,63,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,..,..,.,.,.,..,.,..,..,7,..,..,..,.,..,..,..,..,.,..,..,.,.,.,.,..,.,..,..,..,..,.,..,..,.,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,.,..,.,.,..,..,.,.
מילאן,143,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,.,..,.,..,..,..,..,..,..,7,11,16,11,20,15,43
מילה,"1,013",.,.,.,.,.,.,.,.,..,.,..,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,..,..,..,..,..,..,..,..,.,.,..,.,..,..,.,.,.,.,..,.,..,..,.,.,..,..,..,..,..,..,..,..,5,9,17,10,12,28,34,54,60,82,77,108,126,117,119,119
מילי,"1,002",.,..,..,..,..,..,..,..,..,..,6,6,..,6,..,6,7,6,..,6,8,7,10,9,13,15,18,11,15,15,13,10,17,9,7,7,6,8,6,9,5,..,..,5,..,8,..,..,..,5,5,6,11,7,..,14,11,10,9,14,20,20,25,35,29,35,34,35,69,54,69,59,41,55
מילכה,451,..,..,.,..,..,..,.,..,.,..,..,6,..,..,5,..,..,..,.,..,..,..,..,7,6,..,..,..,7,5,5,..,9,5,6,10,12,8,..,5,..,6,5,10,7,..,..,..,..,6,6,..,9,7,9,9,10,5,7,..,6,9,..,6,10,11,5,10,16,9,18,17,18,14
מילן,74,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,..,..,..,.,.,..,.,..,..,..,..,..,..,.,.,..,.,.,.,.,..,..,.,..,.,.,.,.,..,.,.,.,..,.,..,..,..,..,.,..,.,..,.,.,.,.,..,..,..,..,..,..,..,5,5,..,..,..
מילנה,335,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,..,.,.,..,..,.,..,.,.,..,..,.,.,.,.,.,.,..,..,..,8,9,5,7,12,14,11,24,12,12,12,10,10,10,7,12,15,12,16,12,6,8,10,13,10,9,10,12,11
מימי,178,.,..,..,..,5,5,5,..,..,7,..,7,..,..,5,7,5,12,8,..,5,6,..,5,..,5,..,..,..,..,5,..,..,6,..,..,..,.,..,.,.,..,..,..,..,.,..,..,.,..,..,.,..,..,..,.,.,..,.,.,..,.,..,.,.,.,.,.,.,.,.,.,.,.
מינדי,178,.,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,.,.,.,.,.,..,.,..,.,..,..,..,.,..,..,.,.,.,.,.,.,.,..,..,..,..,6,..,..,..,..,..,6,5,..,.,..,..,..,7,..,10,..,9,..,8,7,..,6,12,5,8,6,7,9,5,6,..
מינדל,517,..,..,.,..,..,..,..,..,.,..,.,..,..,..,5,..,..,..,.,..,..,..,..,..,..,5,.,..,..,..,..,..,.,8,..,..,5,6,..,7,7,7,12,6,8,13,7,..,5,15,11,9,10,12,13,17,15,9,7,11,16,9,8,16,20,22,9,17,13,21,19,13,16,17
מינה,"1,043",17,33,22,36,33,35,24,17,26,17,21,12,19,9,12,19,13,13,12,13,9,13,5,9,14,8,10,15,7,6,6,6,8,10,12,11,9,13,10,8,12,8,6,8,9,10,6,6,..,12,..,5,5,..,10,13,8,5,5,8,13,16,17,16,9,14,10,16,10,15,15,11,7,12
